Branch_Code,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRSEBCS,DEFRVJS,DEFSCS,DEFSEBCS,DEFSTS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSEBCH,GSEBCO,GSEBCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSEBCH,LSEBCO,LSEBCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1H,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDRNT3S,PWDROBCH,PWDROBCS,PWDRSCH,PWDRSCS,PWDRSEBCH,PWDRSEBCS,PWDRSTH,PWDRSTS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,PWDSEBCS,TFWS
110124610,,59325.4,,,,42747.0,,,,,,,27240.23,31132.77,,,23866.19,,,41180.32,,,21371.07,21333.59,,20443.41,20099.73,,41007.7,34875.12,,32858.0,30040.0,,97168.49,104092.43,,27597.8,36280.52,,,51917.0,,36082.0,,,30178.0,,,19398.74,20124.56,,18801.76,18497.74,,41239.02,40008.66,,25328.0,,,82359.8,125819.92,,56577.0,,,,,,,115068.9,,,,,,,113116.0,,,,,,,,,,,,,14347.68
110135610,,156499.0,,,,,,,,,,,78644.83,74946.33,75279.34,,54358.24,87908.94,,65047.64,,,48739.2,58253.71,,46096.31,54767.37,,86553.65,105887.93,,128770.0,83901.0,,90164.58,75965.58,,100760.8,,,,,,,,,129596.0,,,43445.59,54565.97,,41177.54,45216.8,,69400.34,120443.12,,,,,92091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33927.18
110137210,150457.0,86569.94,,,,,,,,,,,57448.11,48411.2,48185.88,,43409.16,37586.43,,41371.51,54030.75,,36239.83,37385.84,,31688.57,31757.4,,56645.8,56061.05,,69801.0,48118.0,,160113.2,109598.0,,53354.35,74716.02,,53924.51,,,32013.52,48057.0,,,,,33343.53,37821.01,,28263.69,27886.56,,52995.67,52109.11,,93482.0,34210.0,,120331.0,,,64594.0,,,,105542.0,,,141925.0,,,,,,,,,,,,,,,,,,,,24675.06
110161210,,135898.0,,,,,,,,,,,122863.44,65593.58,,,74445.6,42073.0,,100233.94,,,65221.28,69405.71,,59888.84,63025.8,,88282.81,100396.19,,132589.0,133831.0,,132026.88,147771.36,,93449.73,,,,,,,135572.0,,,,,64795.46,79213.88,,62290.16,54757.84,,85620.2,139245.44,,136131.0,,,164743.0,,,149331.0,,,,,,,170818.0,,,,,,,,,,,,,,,,,,,,43565.35
110519110,,67209.0,,,,,,,,,,,161209.76,97712.46,102270.82,122699.32,104522.3,99469.66,118274.28,98830.62,,121775.08,98913.0,103820.79,108623.3,89097.43,105906.55,97578.6,111298.94,105835.24,119294.22,,,,88121.92,,163376.88,109183.83,97138.26,117118.7,96990.52,,130495.84,97065.13,,121927.08,,,,92699.73,94782.65,108924.94,76814.37,84311.42,99313.94,99844.27,104832.24,110906.14,,,153626.0,,,167764.0,103954.0,,133043.0,,,,,,169905.0,,,,,,,,,,,,,,,,,,,81868.96
110524210,91560.44,67575.44,,,,77304.97,62062.28,,,93902.0,,,44124.08,29257.64,36039.08,41137.34,29789.28,46943.04,43210.18,38590.89,36518.84,64299.48,24118.4,30060.78,30939.1,22068.76,27710.36,29881.94,32427.29,33866.37,42989.6,,,59201.0,83497.84,68935.22,103707.28,34140.54,45223.2,45386.64,32605.1,,31640.0,31265.26,,30895.52,,80220.0,55520.0,23062.33,27486.71,29911.38,20629.58,26270.72,26667.62,32141.58,36088.0,35324.1,,,57695.0,77923.65,77058.56,107476.84,34856.68,,66980.34,,,,156365.94,98293.44,148184.82,,,,,,,121044.0,,,,,,166060.0,,,,,,17631.67
110524610,,113209.13,,,,90289.0,110061.54,,,147315.0,,,66650.29,33897.9,54239.91,46520.44,41300.01,43876.65,52081.98,57443.31,,51725.0,33225.07,40600.48,37602.82,30953.98,36581.88,36043.9,38371.92,44418.47,51247.0,,,80601.0,103605.82,71738.0,160751.24,38873.1,73605.7,51151.5,,,42442.0,42466.34,,48677.44,,,70270.0,30694.08,41317.78,36538.62,27199.58,38257.65,33201.72,35599.89,46485.06,50967.04,,,96813.0,,,131375.0,,,63925.96,,,,,34846.0,168314.1,,,,,,,,,,,,,,,,,,,21012.31
110526310,,118807.22,,,,,,,,,,,87800.64,46142.0,,62002.16,64430.0,,58791.04,113385.0,,83977.78,47752.0,49483.0,45771.88,44942.0,49439.0,43223.44,58783.0,57589.0,60096.38,,,145430.0,,,151043.98,71090.0,,71479.0,,,76417.0,,,68714.0,,,,45786.0,69650.0,45021.3,43768.0,59462.0,42109.22,68526.0,,54706.42,,,75677.0,,,97056.0,,,97497.22,,,,,,,,,,,,,,,,,,,,,,,,,28176.02
110526510,,,,,,,,,,,,,99478.12,,,,,,81848.0,,,,95889.0,92728.0,77679.0,86610.0,108672.0,73046.0,105691.0,118977.0,93017.0,,,,,,,108654.0,,121543.0,,,,,,,,,,83521.0,76318.0,77480.0,71747.0,69818.0,64104.0,,,78957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52043.72
110526710,,,,,,,,,,,,,123093.0,,,75424.0,,,68751.0,,,161684.0,,,64698.0,,,59720.0,,,83866.0,,,,,,,,,96664.0,,,,,,,,,,,,58149.0,,,49676.0,,,64110.0,,,,,,,,,,,,,,,170126.0,,,,,,,,,,,,,,,,,,,46384.0
