branch_code,branch_name,college_code,core_branch
344019110,Civil Engineering,3440,Civil Engineering
344519110,Civil Engineering,3445,Civil Engineering
344719110,Civil Engineering,3447,Civil Engineering
346019110,Civil Engineering,3460,Civil Engineering
346219110,Civil Engineering,3462,Civil Engineering
346719110,Civil Engineering,3467,Civil Engineering
347119110,Civil Engineering,3471,Civil Engineering
347519110,Civil Engineering,3475,Civil Engineering
347719110,Civil Engineering,3477,Civil Engineering
350319110,Civil Engineering,3503,Civil Engineering
354619110,Civil Engineering,3546,Civil Engineering
400419110,Civil Engineering,4004,Civil Engineering
402519110,Civil Engineering,4025,Civil Engineering
410419110,Civil Engineering,4104,Civil Engineering
411619110,Civil Engineering,4116,Civil Engineering
411819110,Civil Engineering,4118,Civil Engineering
412319110,Civil Engineering,4123,Civil Engineering
413319110,Civil Engineering,4133,Civil Engineering
413519110,Civil Engineering,4135,Civil Engineering
413619110,Civil Engineering,4136,Civil Engineering
413819110,Civil Engineering,4138,Civil Engineering
414119110,Civil Engineering,4141,Civil Engineering
414219110,Civil Engineering,4142,Civil Engineering
414319110,Civil Engineering,4143,Civil Engineering
414419110,Civil Engineering,4144,Civil Engineering
414519110,Civil Engineering,4145,Civil Engineering
414719110,Civil Engineering,4147,Civil Engineering
415119110,Civil Engineering,4151,Civil Engineering
416319110,Civil Engineering,4163,Civil Engineering
416719110,Civil Engineering,4167,Civil Engineering
417219110,Civil Engineering,4172,Civil Engineering
417419110,Civil Engineering,4174,Civil Engineering
417519110,Civil Engineering,4175,Civil Engineering
417719110,Civil Engineering,4177,Civil Engineering
418119110,Civil Engineering,4181,Civil Engineering
418819110,Civil Engineering,4188,Civil Engineering
419019110,Civil Engineering,4190,Civil Engineering
419219110,Civil Engineering,4192,Civil Engineering
419619110,Civil Engineering,4196,Civil Engineering
419719110,Civil Engineering,4197,Civil Engineering
428519110,Civil Engineering,4285,Civil Engineering
430219110,Civil Engineering,4302,Civil Engineering
461319110,Civil Engineering,4613,Civil Engineering
464819110,Civil Engineering,4648,Civil Engineering
464919110,Civil Engineering,4649,Civil Engineering
467919110,Civil Engineering,4679,Civil Engineering
500419110,Civil Engineering,5004,Civil Engineering
510319110,Civil Engineering,5103,Civil Engineering
510419110,Civil Engineering,5104,Civil Engineering
510819110,Civil Engineering,5108,Civil Engineering
510919110,Civil Engineering,5109,Civil Engineering
512119110,Civil Engineering,5121,Civil Engineering
512419110,Civil Engineering,5124,Civil Engineering
513019110,Civil Engineering,5130,Civil Engineering
513919110,Civil Engineering,5139,Civil Engineering
515119110,Civil Engineering,5151,Civil Engineering
515219110,Civil Engineering,5152,Civil Engineering
516019110,Civil Engineering,5160,Civil Engineering
516119110,Civil Engineering,5161,Civil Engineering
516219110,Civil Engineering,5162,Civil Engineering
516419110,Civil Engineering,5164,Civil Engineering
516819110,Civil Engineering,5168,Civil Engineering
516919110,Civil Engineering,5169,Civil Engineering
517019110,Civil Engineering,5170,Civil Engineering
517219110,Civil Engineering,5172,Civil Engineering
517319110,Civil Engineering,5173,Civil Engineering
517719110,Civil Engineering,5177,Civil Engineering
517919110,Civil Engineering,5179,Civil Engineering
518119110,Civil Engineering,5181,Civil Engineering
518219110,Civil Engineering,5182,Civil Engineering
518419110,Civil Engineering,5184,Civil Engineering
530319110,Civil Engineering,5303,Civil Engineering
532219110,Civil Engineering,5322,Civil Engineering
533119110,Civil Engineering,5331,Civil Engineering
537019110,Civil Engineering,5370,Civil Engineering
538019110,Civil Engineering,5380,Civil Engineering
538119110,Civil Engineering,5381,Civil Engineering
538219110,Civil Engineering,5382,Civil Engineering
539019110,Civil Engineering,5390,Civil Engineering
539619110,Civil Engineering,5396,Civil Engineering
539919110,Civil Engineering,5399,Civil Engineering
540119110,Civil Engineering,5401,Civil Engineering
540819110,Civil Engineering,5408,Civil Engineering
541119110,Civil Engineering,5411,Civil Engineering
541819110,Civil Engineering,5418,Civil Engineering
544919110,Civil Engineering,5449,Civil Engineering
549719110,Civil Engineering,5497,Civil Engineering
551319110,Civil Engineering,5513,Civil Engineering
600419110,Civil Engineering,6004,Civil Engineering
600519110,Civil Engineering,6005,Civil Engineering
600719110,Civil Engineering,6007,Civil Engineering
602819110,Civil Engineering,6028,Civil Engineering
612219110,Civil Engineering,6122,Civil Engineering
613819110,Civil Engineering,6138,Civil Engineering
614119110,Civil Engineering,6141,Civil Engineering
614419110,Civil Engineering,6144,Civil Engineering
614619110,Civil Engineering,6146,Civil Engineering
614919110,Civil Engineering,6149,Civil Engineering
615519110,Civil Engineering,6155,Civil Engineering
617519110,Civil Engineering,6175,Civil Engineering
