College_Code,College_Name,Branch_Code,Branch_Name,min,max
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415161210,Mechanical Engineering,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415191210,Computer Science and Engineering(Data Science),2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415192110,Artificial Intelligence and Machine Learning,2024,2024
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",419391110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",419391210,Computer Science and Engineering(Data Science),2024,2024
4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",419691010,Computer Science and Engineering(Cyber Security),2024,2024
4613,"Suryodaya College of Engineering & Technology, Nagpur",461326510,Industrial IoT,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467919110,Civil Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467924210,Computer Science and Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467929310,Electrical Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467993610,Fire Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467999710,Artificial Intelligence,2024,2024
5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",510384410,Electronics and Computer Engineering,2024,2024
5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",510829310,Electrical Engineering,2024,2024
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",510956610,Computer Science,2024,2024
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",510992110,Artificial Intelligence and Machine Learning,2024,2024
5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",513999510,Artificial Intelligence and Data Science,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515219110,Civil Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515224210,Computer Science and Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515224610,Information Technology,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515229310,Electrical Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515237210,Electronics and Telecommunication Engg,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515261210,Mechanical Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515291210,Computer Science and Engineering(Data Science),2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515291310,Computer Science and Engineering (Artificial Intelligence),2024,2024
5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",516199510,Artificial Intelligence and Data Science,2024,2024
5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",516299510,Artificial Intelligence and Data Science,2024,2024
5172,"R. C. Patel Institute of Technology, Shirpur",517224610,Information Technology,2024,2024
5172,"R. C. Patel Institute of Technology, Shirpur",517299510,Artificial Intelligence and Data Science,2024,2024
5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",518199510,Artificial Intelligence and Data Science,2024,2024
5256,"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik",525624510,Computer Engineering,2024,2024
5256,"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik",525624610,Information Technology,2024,2024
5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",526324510,Computer Engineering,2024,2024
5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",526329310,Electrical Engineering,2024,2024
5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",526337210,Electronics and Telecommunication Engg,2024,2024
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",537019110,Civil Engineering,2024,2024
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",537024510,Computer Engineering,2024,2024
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",537029310,Electrical Engineering,2024,2024
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",537061210,Mechanical Engineering,2024,2024
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",537099510,Artificial Intelligence and Data Science,2024,2024
5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",538024610,Information Technology,2024,2024
5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",538099510,Artificial Intelligence and Data Science,2024,2024
5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",538199510,Artificial Intelligence and Data Science,2024,2024
5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",539024610,Information Technology,2024,2024
5399,"Sanghavi College of Engineering, Varvandi, Nashik.",539924610,Information Technology,2024,2024
5399,"Sanghavi College of Engineering, Varvandi, Nashik.",539992110,Artificial Intelligence and Machine Learning,2024,2024
5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",540184410,Electronics and Computer Engineering,2024,2024
