College_Name,District,Other district,,,,,,
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai,Thane,,,,,,
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai,Mumbai City,,,,,,
"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mumbai,Thane,,,,,,
"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,Thane,,,,,,
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,Thane,,,,,,
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai","Dombivali,Mumbai",Thane,,,,,,
"Vidyavardhini's College of Engineering and Technology, Vasai",Vasai,Palghar,,,,,,
"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai,Thane,,,,,,
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,Thane,,,,,,
"Konkan Gyanpeeth College of Engineering, Karjat",Karjat,Raigad,,,,,,
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Parle,Mumbai",Mumbai Suburban,,,,,,
"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Ratnagiri,Ratnagiri,,,,,,
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Bandra,Mumbai",Mumbai Suburban,,,,,,
Rajendra Mane College of Engineering & Technology Ambav Deorukh,Deorukh,Ratnagiri,,,,,,
"Atharva College of Engineering,Malad(West),Mumbai","Engineering,Malad(West),Mumbai",Mumbai Suburban,,,,,,
"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai,Mumbai Suburban,,,,,,
"S.S.P.M.'s College of Engineering, Kankavli",Kankavli,Sindhudurg,,,,,,
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Panvel,Raigad,,,,,,
"Don Bosco Institute of Technology, Mumbai",Mumbai,Mumbai Suburban,,,,,,
"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai,Mumbai Suburban,,,,,,
K J Somaiya Institute of Technology,Technology,Mumbai Suburban,,,,,,
"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",(E),Thane,,,,,,
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai,Thane,,,,,,
"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",ULHASNAGAR,Thane,,,,,,
"Watumull Institute of Engineering & Technology, Ulhasnagar",Ulhasnagar,Thane,,,,,,
"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai","Institute,Mahim,Mumbai",Mumbai City,,,,,,
"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Mumbai,Mumbai Suburban,,,,,,
"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Ratnagiri,Ratnagiri,,,,,,
"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Thane,Thane,,,,,,
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Palghar,Palghar,,,,,,
"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Shahapur,Thane,,,,,,
Yadavrao Tasgaonkar College of Engineering & Management,Management,Raigad,,,,,,
"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Shirgaon,Palghar,,,,,,
"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Virar,Palghar,,,,,,
"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Boisar,Palghar,,,,,,
"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Raigad,Raigad,,,,,,
"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Karjat,Raigad,,,,,,
"Vidya Prasarak Mandal's College of Engineering, Thane",Thane,Thane,,,,,,
Pravin Rohidas Patil College of Engineering & Technology,Technology,Thane,,,,,,
"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly",Rly,Thane,,,,,,
"Bharat College of Engineering, Kanhor, Badlapur(W)",Badlapur(W),Thane,,,,,,
"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Mumbai,Raigad,,,,,,
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai,Thane,,,,,,
"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Tal-Ambernath.,Thane,,,,,,
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Panvel,Raigad,,,,,,
"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Sindhudurg.,Sindhudurg,,,,,,
"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur.",Shahpur.,Thane,,,,,,
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Research,Thane,,,,,,
"G.M.Vedak Institute of Technology, Tala, Raigad.",Raigad.,Raigad,,,,,,
"Universal College of Engineering,Kaman Dist. Palghar",Palghar,Palghar,,,,,,
"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Ratnagiri.,Ratnagiri,,,,,,
"Ideal Institute of Technology, Wada, Dist.Thane",Dist.Thane,Thane,,,,,,
"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Raigad,Raigad,,,,,,
YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,TECHNOLOGY,Sindhudurg,,,,,,
"New Horizon Institute of Technology & Management, Thane",Thane,Thane,,,,,,
"A. P. Shah Institute of Technology, Thane",Thane,Thane,,,,,,
"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Panvel,Raigad,,,,,,
"Indala College Of Engineering, Bapsai Tal.Kalyan",Tal.Kalyan,Thane,,,,,,
Devi Mahalaxmi College of Engineering and Technology,Technology,Thane,,,,,,
"Government College of Engineering, Chandrapur",Chandrapur,Chandrapur,,,,,,
"Laxminarayan Institute of Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Government College of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Kavi Kulguru Institute of Technology & Science, Ramtek",Ramtek,Nagpur,,,,,,
"Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur,Nagpur,,,,,,
"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Bapurao Deshmukh College of Engineering, Sevagram",Sevagram,Wardha,,,,,,
"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur,Nagpur,,,,,,
"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur,Nagpur,,,,,,
"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur,Nagpur,,,,,,
"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Nagpur,Nagpur,,,,,,
"G H Raisoni College of Engineering & Management, Nagpur",Nagpur,Nagpur,,,,,,
"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Bhandara,Bhandara,,,,,,
"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur,Nagpur,,,,,,
"K.D.K. College of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur,Nagpur,,,,,,
Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Chandrapur,Chandrapur,,,,,,
"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur,Nagpur,,,,,,
"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Anjuman College of Engineering & Technology, Nagpur",Nagpur,Nagpur,,,,,,
"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Nagpur,Nagpur,,,,,,
"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Wardha,Wardha,,,,,,
"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur","Road,Nagpur",Nagpur,,,,,,
"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Swaminarayan Siddhanta Institute Of Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Bamni,Chandrapur,,,,,,
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati",Badravati,Chandrapur,,,,,,
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Bhadrawati,Chandrapur,,,,,,
"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Nagpur,Nagpur,,,,,,
"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",",Nagpur",Nagpur,,,,,,
