College_Name,District
"Shriram Institute Of Engineering & Technology, (Poly), Paniv",Solapur
"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Satara
"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur",Kolhapur
"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",Satara
"Jaihind College Of Engineering,Kuran",Pune
ISBM College Of Engineering Pune,Pune
"Universal College of Engineering & Research, Sasewadi",Pune
"Dattakala Group Of Institutions, Swami",Pune
Navsahyadri Education Society's Group of Institutions,Pune
"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Pune
Samarth College of Engineering and Management,Pune
"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",Pune
"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Solapur
"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Solapur
"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Sangli
"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Pune
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",Kolhapur
Ajeenkya DY Patil School of Engineering,Pune
"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Pune
"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Pune
"International Institute of Information Technology (I?ýIT), Pune.",Pune
"JSPM Narhe Technical Campus, Pune.",Pune
"Fabtech Technical Campus College of Engineering and Research, Sangola",Solapur
"Yashoda Technical Campus, Wadhe, Satara.",Satara
"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Pune
"Shree Ramchandra College of Engineering, Lonikand,Pune",Pune
"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Sangli
Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara,Satara
"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.",Pune
"P.K. Technical Campus, Pune.",Pune
"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Pune
"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Pune
"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Pune
"NBN Sinhgad Technical Institutes Campus, Pune",Pune
"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Kolhapur
"Bhagwant Institute of Technology, Barshi",Solapur
"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Solapur
"Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Pune
"Anantrao Pawar College of Engineering & Research, Pune",Pune
"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Pune
"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Pune
"Dnyanshree Institute Engineering and Technology, Satara",Satara
"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj",Sangli
"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",Pune
"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Kolhapur
"Keystone School of Engineering, Pune",Pune
Sanjay Ghodawat Institute,Kolhapur
"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Pune
"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Pune
"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Pune
"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Kolhapur
"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Kolhapur
"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Solapur
Shree Siddheshwar Women's College Of Engineering Solapur.,Solapur
"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Pune
"Laxminarayan Innovation Technological University, Nagpur",Nagpur
"Shri. Anandrao Abitkar College of Engineering, Pal",Kolhapur
"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",Kolhapur
