College_Name,District
"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Nashik
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Nashik
"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Nashik
"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik",Nashik
"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",Nashik
"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",Ahmednagar
"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",Nandurbar
"PUNE VIDYARTHI GRIHAƒ??S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",Nashik
"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Nashik
"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule",Dhule
"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",Ahmednagar
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Ahmednagar
"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Dhule
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Ahmednagar
"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Nashik
"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Jalgaon
"Sanghavi College of Engineering, Varvandi, Nashik.",Nashik
"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Nashik
"Vidya Niketan College of Engineering, Bota Sangamner",Ahmednagar
"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Ahmednagar
"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Nashik
"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik
"R.C. Patel College of Engineering and Polytechnic, Shirpur",Dhule
"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Dhule
"P.G. College of Engineering & Technology, Nandurbar",Nandurbar
"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Ahmednagar
"MKD Institute of Technology, Nadurbar",Nandurbar
"Government College of Engineering & Research, Avasari Khurd",Pune
"Government College of Engineering, Karad",Satara
COEP Technological University,Pune
"College of Engineering, Pune",Pune
"Walchand College of Engineering, Sangli",Sangli
"Department of Technology, Shivaji University, Kolhapur",Kolhapur
"Government College of Engineering, Kolhapur",Kolhapur
"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Pune
"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Pune
"Progressive Education Society's Modern College of Engineering, Pune",Pune
"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Pune
"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Pune
"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Pune
"MIT Academy of Engineering,Alandi, Pune",Pune
"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval",Pune
"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",Pune
"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Pune
"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Pune
"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Pune
"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Pune
"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Pune
"Sinhgad College of Engineering, Vadgaon (BK), Pune",Pune
"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Pune
"Indira College of Engineering & Management, Pune",Pune
"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Pune
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Pune
"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Pune
"Sinhagad Institute of Technology, Lonavala",Pune
Sinhgad Institute of Technology,Pune
"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune",Pune
"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Pune
"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Pune
"Pune District Education Association's College of Engineering, Pune",Pune
"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Pune
"Dr. D. Y. Patil Vidya Pratishthan Societyƒ??s Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Pune
"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Sangli
"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",Kolhapur
"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Solapur
"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",Solapur
"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Kolhapur
"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",Solapur
"D.Y. Patil College of Engineering and Technology, Kolhapur",Kolhapur
"Walchand Institute of Technology, Solapur",Solapur
"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur
"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Kolhapur
"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Sangli
"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Satara
Pune Institute of Computer Technology,Pune
"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune
"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Pune
"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Pune
"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune",Pune
"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",Pune
"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",Pune
"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Kolhapur
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",Pune
"Modern Education Society's College of Engineering, Pune",Pune
"Modern Education Society's Wadia College of Engineering, Pune",Pune
"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Pune
"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Sangli
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Pune
"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Pune
"Bharati Vidyapeeth's College of Engineering, Kolhapur",Kolhapur
"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Pune
"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Solapur
